Status,Leetcode,Name,Difficulty,Tag,Page,Date
In progress,111,Minimum Depth of Binary Tree,Easy,"BFS, BT",https://leetcode.com/problems/minimum-depth-of-binary-tree/,"July 10, 2023"
Done,104,Maximum Depth of Binary Tree,Easy,"BFS, BT, DFS",https://leetcode.com/problems/maximum-depth-of-binary-tree/description/?envType=study-plan-v2&envId=top-interview-150,"July 10, 2023"
Done,117,Populating Next Right Pointers in Each Node II,Medium,"BFS, BT",https://leetcode.com/problems/populating-next-right-pointers-in-each-node-ii/description/,"July 10, 2023"
In progress,116,Populating Next Right Pointers in Each Node,Medium,"BFS, BT",https://leetcode.com/problems/populating-next-right-pointers-in-each-node/description/,"July 10, 2023"
In progress,515,Find Largest Value in Each Tree Row,Medium,"BFS, BT",https://leetcode.com/problems/find-largest-value-in-each-tree-row/description/,"July 10, 2023"
In progress,429,N-ary Tree Level Order Traversal,Medium,"BFS, BT",https://leetcode.com/problems/n-ary-tree-level-order-traversal/,"July 9, 2023"
needreview😭,637,Average of Levels in Binary Tree,Easy,"BFS, BT",https://leetcode.com/problems/average-of-levels-in-binary-tree/description/,"July 9, 2023"
needreview😭,199,BT Right Side View,Medium,"BT, DFS",https://leetcode.com/problems/binary-tree-right-side-view/description/,"July 7, 2023"
Done,107,BT Level Order Traversal II,Medium,"BFS, BT",https://leetcode.com/problems/binary-tree-level-order-traversal-ii/description/,"July 7, 2023"
needreview😭,102,BT Level Order Traversal,Medium,"BFS, BT",https://leetcode.com/problems/binary-tree-level-order-traversal/,"July 7, 2023"
In progress,,Binary Tree Traversal,Easy,"BFS, BT, DFS, Iteration, Recursion",,"June 29, 2023"
In progress,4,Midian of two sorted arrays,Hard,"Array, Binary Search",https://leetcode.com/problems/median-of-two-sorted-arrays/description/?envType=study-plan-v2&envId=top-interview-150,"June 29, 2023"
In progress,34,Find First and Last Position of Element in Sorted Array,Medium,"Array, Binary Search",https://leetcode.com/problems/find-first-and-last-position-of-element-in-sorted-array/description/?envType=study-plan-v2&envId=top-interview-150,"June 29, 2023"
In progress,74,Search a 2D Matrix,Medium,"Array, Binary Search, matrix",https://leetcode.com/problems/search-a-2d-matrix/description/?envType=study-plan-v2&envId=top-interview-150,"June 27, 2023"
In progress,162,Find Peak Element,Medium,"Array, Binary Search",https://leetcode.com/problems/find-peak-element/description/?envType=study-plan-v2&envId=top-interview-150,"June 27, 2023"
In progress,702,Search In a Sorted Array of Unknown Size,Medium,"Array, Binary Search",https://leetcode.com/problems/search-in-a-sorted-array-of-unknown-size/description/,"June 27, 2023"
In progress,153,Find Minimum in Rotated Sorted Array,Medium,"Array, Binary Search",https://leetcode.com/problems/find-minimum-in-rotated-sorted-array/description/,"June 26, 2023"
In progress,35,Search Insert Position,Easy,"Array, Binary Search",https://leetcode.com/problems/search-insert-position/?envType=study-plan-v2&envId=top-interview-150,"June 26, 2023"
needreview😭,128,Longest Consecutive Sequence,Medium,"Array, Hash Table",https://leetcode.com/problems/longest-consecutive-sequence/description/?envType=study-plan-v2&envId=top-interview-150,"June 26, 2023"
needreview😭,219,Contains Duplicate II,Easy,"Array, Hash Table",https://leetcode.com/problems/contains-duplicate-ii/description/?envType=study-plan-v2&envId=top-interview-150,"June 23, 2023"
Done,202,Happy Number,Easy,"Hash Table, Math, TwoPointers",https://leetcode.com/problems/happy-number/description/?envType=study-plan-v2&envId=top-interview-150,"June 23, 2023"
Done,1,Two Sum,Easy,"Array, Hash Table",https://leetcode.com/problems/two-sum/description/?envType=study-plan-v2&envId=top-interview-150,"June 23, 2023"
needreview😭,49,Group Anagrams,Medium,"Array, Hash Table, String",https://leetcode.com/problems/group-anagrams/?envType=study-plan-v2&envId=top-interview-150,"June 23, 2023"
Done,242,Valid Anagram,Easy,"Hash Table, String",https://leetcode.com/problems/valid-anagram/description/?envType=study-plan-v2&envId=top-interview-150,"June 22, 2023"
needreview😭,290,Word Pattern,Easy,"Hash Table, String",https://leetcode.com/problems/word-pattern/?envType=study-plan-v2&envId=top-interview-150,"June 22, 2023"
needreview😭,205,Isomorphic Strings,Easy,"Hash Table, String",https://leetcode.com/problems/isomorphic-strings/description/?envType=study-plan-v2&envId=top-interview-150,"June 22, 2023"
In progress,383,Ransom Note,Easy,"Hash Table, String",https://leetcode.com/problems/ransom-note/description/?envType=study-plan-v2&envId=top-interview-150,"June 22, 2023"
In progress,76,Minimum Window String,Hard,"Hash Table, Sliding Window, String",https://leetcode.com/problems/minimum-window-substring/description/?envType=study-plan-v2&envId=top-interview-150,"June 21, 2023"
In progress,3,Longest Substring Without Repeating Characters,Medium,"Hash Table, Sliding Window, String",https://leetcode.com/problems/longest-substring-without-repeating-characters/description/?envType=study-plan-v2&envId=top-interview-150,"June 21, 2023"
In progress,209,Minimum Size Subarray Sum,Medium,"Array, Sliding Window",https://leetcode.com/problems/minimum-size-subarray-sum/description/?envType=study-plan-v2&envId=top-interview-150,"June 21, 2023"
In progress,6,Zigzag Conversion,Medium,String,https://leetcode.com/problems/zigzag-conversion/description/?envType=study-plan-v2&envId=top-interview-150,"June 20, 2023"
In progress,28,Find the Index of the First Occurrence in a String,Easy,"String, TwoPointers",https://leetcode.com/problems/find-the-index-of-the-first-occurrence-in-a-string/description/?envType=study-plan-v2&envId=top-interview-150,"June 20, 2023"
In progress,151,Reverse Words in a String,Medium,"String, python函数",https://leetcode.com/problems/reverse-words-in-a-string/submissions/?envType=study-plan-v2&envId=top-interview-150,"June 20, 2023"
In progress,14,Longest Common Prefix,Easy,"Linked List, String",https://leetcode.com/problems/longest-common-prefix/submissions/?envType=study-plan-v2&envId=top-interview-150,"June 20, 2023"
In progress,58,Length of Last Word,Easy,String,https://leetcode.com/problems/length-of-last-word/description/?envType=study-plan-v2&envId=top-interview-150,"June 20, 2023"
In progress,42,Trapping Rain Water,Hard,"Array, TwoPointers",https://leetcode.com/problems/trapping-rain-water/description/?envType=study-plan-v2&envId=top-interview-150,"June 20, 2023"
